project,key,type,severity,rule,rule_name,file,line,message,effort,tags
Foster,3b4af21c-683e-4975-a050-c9711340b908,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,545,Make this native method private and provide a wrapper.,30min,pitfall
Foster,bd12fc8c-2b1e-4f35-92ee-95e99f2e624b,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,545,P/Invoke method 'SDL_LockRWLockForReading' should not be visible,0min,
Foster,dd3a907a-7310-4efe-936d-71faec3a0173,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,549,Make this native method private and provide a wrapper.,30min,pitfall
Foster,f152f751-8626-462c-b076-036dedf33380,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,549,P/Invoke method 'SDL_LockRWLockForWriting' should not be visible,0min,
Foster,963b2494-f663-45e7-b756-621a23045ce9,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,553,P/Invoke method 'SDL_TryLockRWLockForReading' should not be visible,0min,
Foster,a7517d83-3e0d-4b0d-8c59-d4d8cae18971,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,553,Make this native method private and provide a wrapper.,30min,pitfall
Foster,7a919d69-9ecb-4f3c-81ae-153ffb624aa2,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,557,P/Invoke method 'SDL_TryLockRWLockForWriting' should not be visible,0min,
Foster,911a1858-0405-4860-a54f-625492e24e78,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,557,Make this native method private and provide a wrapper.,30min,pitfall
Foster,5d17b494-f748-4ecc-aeae-d36101f600f8,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,561,Make this native method private and provide a wrapper.,30min,pitfall
Foster,d375d607-6210-45b9-bdac-d1b70dc7c4e4,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,561,P/Invoke method 'SDL_UnlockRWLock' should not be visible,0min,
Foster,62178c54-ac1c-4ba7-9b74-4fb9020d22c5,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,565,Make this native method private and provide a wrapper.,30min,pitfall
Foster,68f7dba6-e038-4202-92d8-ea56a20ac7cd,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,565,P/Invoke method 'SDL_DestroyRWLock' should not be visible,0min,
Foster,54a774a8-91d7-4e45-be40-b081512ad2bd,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,569,P/Invoke method 'SDL_CreateSemaphore' should not be visible,0min,
Foster,f6a7f346-be09-4046-9945-8001cbbaf3d6,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,569,Make this native method private and provide a wrapper.,30min,pitfall
Foster,237f36c1-8f2b-4bf2-b743-a035dc2289b4,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,573,Make this native method private and provide a wrapper.,30min,pitfall
Foster,e1f3d570-f0fc-4269-bddf-eabcd6977aad,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,573,P/Invoke method 'SDL_DestroySemaphore' should not be visible,0min,
Foster,805bc555-571c-424d-bf2a-b5f4148e0c3f,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,577,Make this native method private and provide a wrapper.,30min,pitfall
Foster,8c518d3d-e7b7-4787-a697-56e0558e6628,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,577,P/Invoke method 'SDL_WaitSemaphore' should not be visible,0min,
Foster,5cf96c43-d273-468f-a074-f7d297b4b8c1,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,581,P/Invoke method 'SDL_TryWaitSemaphore' should not be visible,0min,
Foster,f99eda6e-eb9b-4f35-81e5-9af3908c63a8,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,581,Make this native method private and provide a wrapper.,30min,pitfall
Foster,3b13c02f-94ea-45f2-af5f-ac5ed7609cdb,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,585,Make this native method private and provide a wrapper.,30min,pitfall
Foster,56873c27-e0b0-4bc1-ba70-6b9c2bf5516f,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,585,P/Invoke method 'SDL_WaitSemaphoreTimeout' should not be visible,0min,
Foster,53cb4422-4496-47ee-b942-6975950ee00a,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,589,Make this native method private and provide a wrapper.,30min,pitfall
Foster,6df61a4c-99e7-4832-ac9b-b4607c777229,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,589,P/Invoke method 'SDL_SignalSemaphore' should not be visible,0min,
Foster,23ce2d39-88f0-40cb-9c3a-25400bb4a7d1,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,593,P/Invoke method 'SDL_GetSemaphoreValue' should not be visible,0min,
Foster,3d79ddd4-d888-478a-ac1d-90ccd190137c,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,593,Make this native method private and provide a wrapper.,30min,pitfall
Foster,b277b824-cb96-44fb-bba1-810d0448dbde,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,597,Make this native method private and provide a wrapper.,30min,pitfall
Foster,d4444786-ff74-44f0-9685-f91dc8c0b1f4,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,597,P/Invoke method 'SDL_CreateCondition' should not be visible,0min,
Foster,9212b7ff-e0d8-4ab2-9923-fbac2f9358e4,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,601,P/Invoke method 'SDL_DestroyCondition' should not be visible,0min,
Foster,f4ac275c-aab1-4ed7-8cf5-0e1b97cb81f7,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,601,Make this native method private and provide a wrapper.,30min,pitfall
Foster,0ce23beb-d040-410d-9e93-d610e86f334b,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,605,P/Invoke method 'SDL_SignalCondition' should not be visible,0min,
